Detected GPU: Radeon 8060S Graphics -> peak BF16 FLOPS: 1.4e+14
Vocab size: 311
Model config: {'sequence_len': 2048, 'vocab_size': 311, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 384, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 119,424
  value_embeds            : 477,696
  lm_head                 : 119,424
  transformer_matrices    : 14,156,544
  scalars                 : 16
  total                   : 14,873,104
Estimated FLOPs per token: 1.328417e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
ROCm detected: torch.compile disabled (enable with PyTorch 2.9+ on ROCm)
Time budget: 600s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 5.740342 | lrm: 1.00 | dt: 1140ms | tok/sec: 57,481 | mfu: 5.5% | epoch: 1 | remaining: 600s    
step 00001 (0.0%) | loss: 6.113998 | lrm: 1.00 | dt: 1051ms | tok/sec: 62,329 | mfu: 5.9% | epoch: 1 | remaining: 600s    
step 00002 (0.0%) | loss: 5.555115 | lrm: 1.00 | dt: 1046ms | tok/sec: 62,632 | mfu: 6.0% | epoch: 1 | remaining: 600s    
step 00003 (0.0%) | loss: 4.862858 | lrm: 1.00 | dt: 1044ms | tok/sec: 62,746 | mfu: 6.0% | epoch: 1 | remaining: 600s    
step 00004 (0.0%) | loss: 4.365533 | lrm: 1.00 | dt: 1047ms | tok/sec: 62,590 | mfu: 6.0% | epoch: 1 | remaining: 600s    
step 00005 (0.0%) | loss: 4.023298 | lrm: 1.00 | dt: 1046ms | tok/sec: 62,652 | mfu: 6.0% | epoch: 1 | remaining: 600s    
step 00006 (0.0%) | loss: 3.781864 | lrm: 1.00 | dt: 1045ms | tok/sec: 62,730 | mfu: 6.0% | epoch: 1 | remaining: 600s    
step 00007 (0.0%) | loss: 3.598164 | lrm: 1.00 | dt: 1048ms | tok/sec: 62,506 | mfu: 6.0% | epoch: 1 | remaining: 600s    
step 00008 (0.0%) | loss: 3.464394 | lrm: 1.00 | dt: 1063ms | tok/sec: 61,656 | mfu: 5.9% | epoch: 1 | remaining: 600s    
step 00009 (0.0%) | loss: 3.364871 | lrm: 1.00 | dt: 1062ms | tok/sec: 61,687 | mfu: 5.9% | epoch: 1 | remaining: 600s    
step 00010 (0.0%) | loss: 3.276936 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,564 | mfu: 5.9% | epoch: 1 | remaining: 600s    
step 00011 (0.0%) | loss: 3.211292 | lrm: 1.00 | dt: 1063ms | tok/sec: 61,667 | mfu: 5.9% | epoch: 1 | remaining: 599s    
step 00012 (0.2%) | loss: 3.154180 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,537 | mfu: 5.9% | epoch: 1 | remaining: 598s    
step 00013 (0.4%) | loss: 3.098442 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,542 | mfu: 5.9% | epoch: 1 | remaining: 597s    
step 00014 (0.5%) | loss: 3.047789 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,589 | mfu: 5.9% | epoch: 1 | remaining: 596s    
step 00015 (0.7%) | loss: 2.993867 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,579 | mfu: 5.9% | epoch: 1 | remaining: 595s    
step 00016 (0.9%) | loss: 2.947166 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,586 | mfu: 5.9% | epoch: 1 | remaining: 594s    
step 00017 (1.1%) | loss: 2.897996 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,543 | mfu: 5.9% | epoch: 1 | remaining: 593s    
step 00018 (1.2%) | loss: 2.838256 | lrm: 1.00 | dt: 1068ms | tok/sec: 61,374 | mfu: 5.9% | epoch: 1 | remaining: 591s    
step 00019 (1.4%) | loss: 2.780209 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,517 | mfu: 5.9% | epoch: 1 | remaining: 590s    
step 00020 (1.6%) | loss: 2.745097 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,527 | mfu: 5.9% | epoch: 1 | remaining: 589s    
step 00021 (1.8%) | loss: 2.693991 | lrm: 1.00 | dt: 1067ms | tok/sec: 61,426 | mfu: 5.9% | epoch: 1 | remaining: 588s    
step 00022 (2.0%) | loss: 2.642833 | lrm: 1.00 | dt: 1066ms | tok/sec: 61,468 | mfu: 5.9% | epoch: 1 | remaining: 587s    
step 00023 (2.1%) | loss: 2.588383 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,523 | mfu: 5.9% | epoch: 1 | remaining: 586s    
step 00024 (2.3%) | loss: 2.545339 | lrm: 1.00 | dt: 1066ms | tok/sec: 61,497 | mfu: 5.9% | epoch: 1 | remaining: 585s    
step 00025 (2.5%) | loss: 2.493120 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,568 | mfu: 5.9% | epoch: 1 | remaining: 584s    
step 00026 (2.7%) | loss: 2.437808 | lrm: 1.00 | dt: 1066ms | tok/sec: 61,490 | mfu: 5.9% | epoch: 1 | remaining: 583s    
step 00027 (2.8%) | loss: 2.392908 | lrm: 1.00 | dt: 1068ms | tok/sec: 61,371 | mfu: 5.9% | epoch: 1 | remaining: 582s    
step 00028 (3.0%) | loss: 2.352318 | lrm: 1.00 | dt: 1067ms | tok/sec: 61,409 | mfu: 5.9% | epoch: 1 | remaining: 581s    
step 00029 (3.2%) | loss: 2.333816 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,509 | mfu: 5.9% | epoch: 1 | remaining: 580s    
step 00030 (3.4%) | loss: 2.319836 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,545 | mfu: 5.9% | epoch: 1 | remaining: 579s    
step 00031 (3.6%) | loss: 2.292286 | lrm: 1.00 | dt: 1067ms | tok/sec: 61,403 | mfu: 5.9% | epoch: 1 | remaining: 578s    
step 00032 (3.7%) | loss: 2.251169 | lrm: 1.00 | dt: 1069ms | tok/sec: 61,323 | mfu: 5.8% | epoch: 1 | remaining: 577s    
step 00033 (3.9%) | loss: 2.218484 | lrm: 1.00 | dt: 1066ms | tok/sec: 61,475 | mfu: 5.9% | epoch: 1 | remaining: 575s    
step 00034 (4.1%) | loss: 2.190843 | lrm: 1.00 | dt: 1066ms | tok/sec: 61,500 | mfu: 5.9% | epoch: 1 | remaining: 574s    
step 00035 (4.3%) | loss: 2.164240 | lrm: 1.00 | dt: 1068ms | tok/sec: 61,371 | mfu: 5.9% | epoch: 1 | remaining: 573s    
